Sigla da IES,Nome da IES,Código do Curso,Nome do Curso,Grau,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF
UEM,UNIVERSIDADE ESTADUAL DE MARINGÁ,58202,MEDICINA VETERINÁRIA,Bacharelado,40,4802,Anual,5,696577,CAMPUS  - UMUARAMA - SÃO CRISTOVÃO,Estrada da Paca,s/nº,Caixa Postal 65,São Cristovão,4128104,Umuarama,PR
UFF,UNIVERSIDADE FEDERAL FLUMINENSE,1125664,FÍSICA,Bacharelado,80,2690,Semestral,8,1050522,CAMPUS ATERRADO: ICEX - Instituto de Ciências Exatas,Rua Desembargador Ellis Hermydio Figueira,783,Bloco B,Aterrado,3306305,Volta Redonda,RJ
UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,14215,ARQUITETURA E URBANISMO,Bacharelado,80,3900,Semestral,10,1005565,Campus Universitário Reitor João David Ferreira Lima,Campus Universitário,s/n,,Trindade,4205407,Florianópolis,SC
UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,1180627,QUíMICA - QUíMICA FORENSE,Bacharelado,28,3105,Semestral,8,1048526,CAMPUS UNIVERSITÁRIO,Campus Universitário,s/n,,-,4304663,Capão do Leão,RS
UERN,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,25205,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,70,3680,Semestral,,621,Campus Avançado Professora Maria Elisa de Albuquerque Maia,BR 405 - Km 3,s/n,,Arizona,2409407,Pau dos Ferros,RN
FATEC MAUÁ,FACULDADE DE TECNOLOGIA DE MAUÁ,1153635,LOGÍSTICA,Tecnológico,40,2880,Semestral,,6781,CAMPUS  - MAUÁ - VILA FAUSTO MORELLI,Av.Antonia Rosa Fioravante,804,,Vila Fausto Morelli,3529401,Mauá,SP
UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,45053,LETRAS,Licenciatura,135,3210,Semestral,8,34999,Campus do Vale,Av. Bento Gonçalves,9500,,Agronomia,4314902,Porto Alegre,RS
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,1297373,ADMINISTRAÇÃO,Bacharelado,180,3270,Semestral,,1052272,Faculdade de Ciências Aplicadas - FCA/UNICAMP,Rua Pedro Zaccaria,1300,,Jardim Paulista,3526902,Limeira,SP
UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,12812,CIÊNCIAS BIOLÓGICAS,Licenciatura,35,3455,Semestral,8,1072,SEDE,Av. Fernando Ferrari,,,,,,
USP,UNIVERSIDADE DE SÃO PAULO,1327396,CIÊNCIAS BIOMÉDICAS - ÊNFASE EM CIÊNCIAS BÁSICAS DA SAÚDE,Bacharelado,12,4065,Semestral,8,1078743,Faculdade de Medicina de Ribeirão Preto - FMRP,Av. Bandeirantes,3900,Faculdade de Medicina de Ribeirão Preto - USP,Vila Monte Alegre,3543402,Ribeirão Preto,SP
UNESPAR,Universidade Estadual do Paraná,11799,MUSICOTERAPIA,Bacharelado,30,3394,Semestral,,691702,CAMPUS DE CURITIBA II - FAP,RUA DOS FUNCIONÁRIOS,1357,,BAIRRO CABRAL,4106902,Curitiba,PR
UNB,UNIVERSIDADE DE BRASÍLIA,122218,MUSEOLOGIA,Bacharelado,64,2535,Semestral,8,4229,Campus Universitário Darcy Ribeiro,Campus Universitário Darcy Ribeiro,s/n,,Asa Norte,5300108,Brasília,DF
UNCISAL,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,2348,MEDICINA,Bacharelado,50,8896,Anual,6,657691,CAMPUS  - MACEIÓ - TRAPICHE DA BARRA,Rua Jorge de Lima,113,,Trapiche da Barra,2704302,Maceió,AL
UNEMAT,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,113529,ENGENHARIA DE ALIMENTOS,Bacharelado,80,4020,Semestral,10,391,CAMPUS UNIVERSITÁRIO DEPUTADO RENE BARBOUR (BARRA DO BUGRES),Rua A,s/n,,COHAB São Raimundo,5101704,Barra do Bugres,MT
UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,49472,FILOSOFIA,Licenciatura,45,3230,Semestral,,1005376,campus centro - REITORIA,RUA XV DE NOVEMBRO,1299,,CENTRO,4106902,Curitiba,PR
UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,313087,CIÊNCIAS SOCIAIS,Bacharelado,90,3375,Semestral,,1039546,Universidade Federal de Juiz de Fora - CAMPUS SEDE,Campus Universitário,s/n,UFJF,São Pedro,3136702,Juiz de Fora,MG
UNEMAT,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,81119,LETRAS - PORTUGUÊS E ESPANHOL,Licenciatura,60,3300,Anual,,3322,NÚCLEO PEDAGÓGICO DE CONFRESA,Av. Centro Oeste,S/N,,Vila Nova,5103353,Confresa,MT
